iter	Passed	Remaining
0	0	823
1	1	751
2	2	715
3	2	684
4	3	671
5	3	660
6	4	651
7	5	650
8	5	645
9	6	637
10	6	629
11	7	622
12	8	622
13	8	619
14	9	620
15	10	621
16	10	623
17	11	619
18	12	622
19	12	623
20	13	624
21	14	624
22	14	624
23	15	626
24	16	628
25	16	629
26	17	626
27	17	621
28	18	619
29	19	616
30	19	614
31	20	615
32	20	612
33	21	611
34	22	608
35	23	622
36	23	619
37	24	616
38	24	612
39	25	609
40	26	608
41	26	606
42	27	605
43	27	605
44	28	602
45	28	601
46	29	600
47	30	600
48	30	599
49	31	600
50	32	600
51	32	598
52	33	598
53	34	598
54	34	597
55	35	596
56	36	596
57	36	595
58	37	592
59	37	593
60	38	593
61	39	591
62	39	589
63	40	589
64	40	588
65	41	587
66	42	586
67	42	584
68	43	582
69	43	582
70	44	581
71	45	581
72	45	581
73	46	581
74	47	580
75	47	580
76	48	579
77	48	576
78	49	576
79	50	576
80	50	575
81	51	574
82	51	570
83	52	569
84	52	569
85	53	568
86	54	567
87	54	566
88	55	565
89	55	564
90	56	564
91	57	563
92	57	562
93	58	561
94	58	559
95	59	558
96	59	558
97	60	556
98	61	557
99	61	556
100	62	556
101	63	555
102	63	554
103	64	553
104	64	552
105	65	551
106	65	550
107	66	548
108	66	547
109	67	546
110	68	545
111	68	544
112	69	543
113	69	542
114	70	541
115	70	540
116	71	538
117	71	537
118	72	536
119	72	534
120	73	533
121	73	531
122	74	531
123	75	531
124	75	530
125	76	530
126	77	529
127	77	528
128	78	527
129	78	527
130	79	526
131	79	525
132	80	524
133	81	524
134	81	523
135	82	522
136	82	521
137	83	520
138	83	519
139	84	519
140	84	517
141	85	515
142	85	515
143	86	514
144	87	513
145	87	513
146	88	512
147	88	511
148	89	510
149	89	509
150	90	508
151	91	508
152	91	507
153	92	507
154	93	507
155	93	506
156	94	506
157	94	506
158	95	505
159	96	504
160	96	503
161	97	502
162	97	501
163	98	500
164	98	500
165	99	499
166	100	499
167	100	498
168	101	497
169	101	496
170	102	496
171	102	495
172	103	494
173	103	493
174	104	493
175	105	492
176	105	491
177	106	491
178	106	490
179	107	489
180	108	489
181	108	489
182	109	488
183	109	487
184	110	487
185	111	486
186	111	485
187	112	484
188	112	483
189	113	483
190	114	482
191	114	482
192	115	481
193	115	480
194	116	480
195	116	479
196	117	478
197	118	478
198	118	477
199	119	477
200	119	476
201	120	475
202	121	475
203	121	474
204	122	474
205	123	474
206	123	473
207	124	473
208	124	472
209	125	471
210	125	470
211	126	470
212	127	469
213	127	468
214	128	468
215	128	467
216	129	467
217	129	466
218	130	465
219	131	464
220	131	463
221	132	463
222	132	462
223	133	461
224	133	460
225	134	460
226	134	459
227	135	458
228	136	458
229	136	457
230	137	456
231	137	456
232	138	455
233	139	455
234	139	454
235	140	453
236	140	453
237	141	452
238	141	452
239	142	451
240	143	450
241	143	449
242	144	449
243	144	448
244	145	448
245	145	447
246	146	446
247	146	445
248	147	444
249	148	444
250	148	443
251	149	443
252	149	442
253	150	441
254	150	441
255	151	440
256	152	439
257	152	439
258	153	439
259	154	438
260	154	438
261	155	437
262	155	436
263	156	436
264	157	435
265	157	434
266	158	434
267	158	433
268	159	432
269	159	431
270	160	431
271	160	430
272	161	429
273	161	428
274	162	428
275	162	427
276	163	426
277	164	426
278	164	425
279	165	424
280	165	424
281	166	423
282	167	423
283	167	422
284	168	421
285	168	421
286	169	420
287	169	419
288	170	419
289	171	418
290	171	418
291	172	417
292	172	417
293	173	416
294	174	415
295	174	415
296	175	414
297	175	413
298	176	413
299	176	412
300	177	412
301	178	411
302	178	411
303	179	410
304	179	409
305	180	409
306	180	408
307	181	407
308	182	407
309	182	406
310	183	406
311	184	405
312	184	405
313	185	404
314	185	404
315	186	403
316	187	403
317	187	402
318	188	401
319	188	400
320	189	400
321	189	399
322	190	399
323	191	398
324	191	397
325	192	397
326	192	396
327	193	395
328	193	395
329	194	394
330	194	393
331	195	393
332	196	392
333	196	392
334	197	391
335	197	390
336	198	390
337	198	389
338	199	388
339	199	388
340	200	387
341	201	386
342	201	386
343	202	385
344	202	385
345	203	384
346	203	383
347	204	383
348	205	382
349	205	382
350	206	381
351	206	380
352	208	381
353	208	380
354	209	380
355	209	379
